Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"I10_1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
3,79400;0,22714;3834,43058;1,26699;0,00030;47,93038;0,03044;0,01000;-0,00242;0,00025
3,88000;0,23250;3910,55703;1,26703;0,00031;48,88196;0,03093;0,01016;-0,00323;0,00033
3,97400;0,23796;3986,33301;1,26725;0,00033;49,82916;0,03305;0,01086;0,01006;-0,00103
4,06000;0,24321;4061,72857;1,26722;0,00032;50,77161;0,03191;0,01048;0,01451;-0,00149
4,15400;0,24879;4137,67084;1,26734;0,00035;51,72089;0,03512;0,01154;0,01587;-0,00163
4,24200;0,25404;4213,39229;1,26734;0,00041;52,66740;0,04098;0,01346;0,00998;-0,00102
4,33600;0,25971;4289,09674;1,26741;0,00040;53,61371;0,04034;0,01325;0,01178;-0,00121
4,42600;0,26496;4365,29785;1,26738;0,00045;54,56622;0,04498;0,01478;0,01691;-0,00173
4,51800;0,27064;4440,81500;1,26739;0,00040;55,51019;0,04004;0,01315;0,01632;-0,00167
4,61000;0,27600;4516,40055;1,26737;0,00039;56,45501;0,03861;0,01268;0,01625;-0,00167
4,70000;0,28162;4591,42014;1,26756;0,00038;57,39275;0,03797;0,01247;0,00713;-0,00073
4,79600;0,28720;4667,40623;1,26763;0,00040;58,34258;0,04023;0,01321;0,00813;-0,00083
4,88600;0,29287;4742,46874;1,26764;0,00044;59,28086;0,04439;0,01458;0,01790;-0,00184
4,98600;0,29866;4818,07798;1,26754;0,00046;60,22597;0,04560;0,01498;0,01605;-0,00165
5,08000;0,30445;4893,84368;1,26771;0,00049;61,17305;0,04860;0,01596;0,01106;-0,00113
5,18000;0,31039;4963,21186;1,26776;0,00051;62,04015;0,05080;0,01669;0,01809;-0,00185
5,28000;0,31618;5032,42314;1,26770;0,00049;62,90529;0,04887;0,01605;0,01934;-0,00198
5,38000;0,32245;5095,98568;1,26779;0,00049;63,69982;0,04935;0,01621;0,02252;-0,00231
5,48000;0,32829;5154,85704;1,26782;0,00054;64,43571;0,05388;0,01770;0,02087;-0,00214
5,58000;0,33450;5218,90506;1,26751;0,00058;65,23631;0,05780;0,01899;0,01975;-0,00202
5,68000;0,34034;5275,36780;1,26773;0,00056;65,94210;0,05573;0,01831;0,02656;-0,00272
5,78000;0,34629;5337,96519;1,26778;0,00051;66,72456;0,05114;0,01680;0,02556;-0,00262
5,88000;0,35239;5395,41051;1,26768;0,00055;67,44263;0,05489;0,01803;0,01762;-0,00181
5,98000;0,35818;5453,07577;1,26776;0,00058;68,16345;0,05770;0,01895;0,03731;-0,00382
6,08000;0,36455;5514,95165;1,26797;0,00059;68,93690;0,05851;0,01922;0,03598;-0,00369
6,18000;0,37034;5570,38486;1,26776;0,00063;69,62981;0,06283;0,02064;0,03882;-0,00398
6,28000;0,37639;5633,75473;1,26788;0,00060;70,42193;0,06040;0,01984;0,03883;-0,00398
6,38000;0,38239;5689,53440;1,26758;0,00064;71,11918;0,06414;0,02107;0,03968;-0,00407
6,48000;0,38818;5746,84292;1,26751;0,00062;71,83554;0,06160;0,02023;0,04805;-0,00493
6,58000;0,39445;5805,21405;1,26789;0,00063;72,56518;0,06277;0,02062;0,05428;-0,00557
6,68000;0,40029;5860,04779;1,26741;0,00064;73,25060;0,06369;0,02092;0,05151;-0,00528
6,78000;0,40645;5921,36040;1,26756;0,00065;74,01701;0,06496;0,02134;0,04783;-0,00490
6,88000;0,41234;5975,47889;1,26767;0,00065;74,69349;0,06492;0,02133;0,04156;-0,00426
6,98000;0,41823;6035,21794;1,26766;0,00064;75,44022;0,06369;0,02092;0,04607;-0,00472
7,08000;0,42445;6090,74593;1,26777;0,00067;76,13432;0,06703;0,02202;0,03702;-0,00380
7,18000;0,43029;6144,11294;1,26784;0,00068;76,80141;0,06792;0,02231;0,04760;-0,00488
7,28000;0,43655;6204,84933;1,26782;0,00070;77,56062;0,07000;0,02299;0,03285;-0,00337
7,38000;0,44239;6256,80774;1,26791;0,00069;78,21010;0,06898;0,02266;0,04143;-0,00425
7,48000;0,44829;6315,18736;1,26792;0,00071;78,93984;0,07145;0,02347;0,03735;-0,00383
7,58000;0,45439;6369,39615;1,26803;0,00070;79,61745;0,07014;0,02304;0,04134;-0,00424
7,68000;0,46023;6424,22676;1,26789;0,00073;80,30283;0,07289;0,02394;0,04604;-0,00472
7,78000;0,46650;6481,30506;1,26800;0,00075;81,01631;0,07533;0,02474;0,00845;-0,00087
7,88000;0,47234;6533,69129;1,26786;0,00071;81,67114;0,07093;0,02330;-0,01423;0,00146
7,98000;0,47839;6592,42406;1,26797;0,00075;82,40530;0,07461;0,02451;-0,01041;0,00107
8,08000;0,48439;6644,09325;1,26802;0,00072;83,05117;0,07242;0,02379;-0,01492;0,00153
8,18000;0,49018;6698,66860;1,26800;0,00075;83,73336;0,07509;0,02467;-0,02058;0,00211
8,28000;0,49645;6753,98022;1,26822;0,00073;84,42475;0,07292;0,02395;-0,01764;0,00181
8,38000;0,50229;6805,38610;1,26797;0,00071;85,06733;0,07105;0,02334;-0,01480;0,00152
8,48000;0,50845;6864,37637;1,26796;0,00067;85,80470;0,06700;0,02201;-0,01127;0,00116
8,58000;0,51439;6915,47424;1,26810;0,00070;86,44343;0,06950;0,02283;-0,01437;0,00147
8,68000;0,52023;6971,20383;1,26805;0,00067;87,14005;0,06695;0,02199;0,00205;-0,00021
8,78000;0,52645;7024,58829;1,26833;0,00068;87,80735;0,06821;0,02240;-0,02685;0,00275
8,88000;0,53229;7075,56948;1,26827;0,00069;88,44462;0,06862;0,02254;0,02167;-0,00222
8,98000;0,53850;7133,25977;1,26818;0,00070;89,16575;0,06973;0,02291;0,02848;-0,00292
9,08000;0,54434;7183,79036;1,26816;0,00067;89,79738;0,06707;0,02203;0,02270;-0,00233
9,18000;0,55034;7239,69787;1,26832;0,00072;90,49622;0,07204;0,02366;0,02372;-0,00243
9,28000;0,55639;7291,43634;1,26823;0,00071;91,14295;0,07124;0,02340;0,03367;-0,00345
9,38000;0,56218;7343,51903;1,26862;0,00072;91,79399;0,07200;0,02365;0,04048;-0,00415
9,48000;0,56861;7398,83378;1,26839;0,00078;92,48542;0,07806;0,02564;0,03028;-0,00310
9,58000;0,57434;7447,18283;1,26840;0,00079;93,08979;0,07899;0,02595;0,03789;-0,00388
9,68000;0,58034;7504,00722;1,26843;0,00079;93,80009;0,07950;0,02611;0,03747;-0,00384
9,78000;0,58639;7554,10194;1,26838;0,00083;94,42627;0,08267;0,02715;0,03654;-0,00375
9,88000;0,59223;7606,48549;1,26837;0,00079;95,08107;0,07873;0,02586;0,03907;-0,00401
9,98000;0,59845;7659,07377;1,26856;0,00083;95,73842;0,08251;0,02710;0,03551;-0,00364
10,08000;0,60434;7707,73262;1,26819;0,00085;96,34666;0,08456;0,02778;0,04751;-0,00487
10,18000;0,61045;7763,30084;1,26834;0,00085;97,04126;0,08469;0,02782;0,04015;-0,00412
