Prüflosbezeichnung;Redux 312_quer+längs_alte Proben;;;;;;;;
Proben-Nr;5;;;;Bmerkung;;;;
Prüfer;JuBr;;;;Falsche Probenbreite und Probendicke vorgegeben;;;;
Werkstoff;6082;;;;Spannungswerte daher nicht korrekt;;;;
Prüfnorm;DIN EN ISO 527                                                   ;;;;über Kraft/Fläche neu brechenen;;;;
Prüfgeschwindigkeit;3,6;mm/min;;;breite;16 mm;;;
Prüfklima;23 °C / 50 % rF;;;;dicke ;5 mm;;;
Bemerkungen;;;;;;;;;
;;;;;;;;;
Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
4,828;0,28918;4015,83597;1,26766;-0,00002;50,19794963;-0,00183;-0,00061;-0,06247;0,00623
4,928;0,29518;4077,13607;1,26762;-0,00008;50,96420088;-0,0076;-0,00252;-0,06161;0,00614
5,028;0,30102;4140,24085;1,26791;-0,00005;51,75301063;-0,00529;-0,00175;-0,06386;0,00636
5,128;0,30729;4203,75109;1,26756;-0,00009;52,54688863;-0,0085;-0,00282;-0,05842;0,00582
5,228;0,31307;4262,79008;1,26805;-0,00005;53,284876;-0,00497;-0,00165;-0,0566;0,00564
5,328;0,31923;4329,6589;1,26782;-0,00007;54,12073625;-0,00749;-0,00248;-0,04344;0,00433
5,428;0,32518;4388,50924;1,26819;-0,00007;54,8563655;-0,00667;-0,00221;0,01206;-0,0012
5,528;0,33107;4451,03332;1,26792;-0,00005;55,6379165;-0,00502;-0,00166;0,01839;-0,00183
5,628;0,33723;4511,1689;1,26816;-0,00002;56,38961125;-0,00195;-0,00065;0,02917;-0,00291
5,728;0,34307;4569,61423;1,26795;-0,00002;57,12017788;-0,00215;-0,00071;0,06312;-0,00629
5,828;0,34934;4632,46688;1,26794;0;57,905836;-0,00043;-0,00014;0,08917;-0,00889
5,928;0,35518;4689,10754;1,26826;0,00001;58,61384425;0,00079;0,00026;0,09127;-0,0091
6,028;0,36112;4751,12289;1,26798;0,00003;59,38903613;0,00281;0,00093;0,0873;-0,0087
6,128;0,36712;4808,74255;1,26808;0,00029;60,10928188;0,02922;0,00968;0,09291;-0,00926
6,228;0,37302;4866,18742;1,26809;0,00026;60,82734275;0,02592;0,00859;0,09153;-0,00912
6,328;0,37934;4926,43163;1,26799;0,00026;61,58039538;0,02572;0,00852;0,08945;-0,00892
6,428;0,38512;4981,07672;1,26798;0,00025;62,263459;0,02451;0,00812;0,0983;-0,0098
6,528;0,39118;5043,3889;1,26803;0,00026;63,04236125;0,02551;0,00845;0,0939;-0,00936
6,628;0,39723;5097,76443;1,26792;0,00023;63,72205538;0,0229;0,00759;0,0969;-0,00966
6,728;0,40302;5154,55842;1,26798;0,00022;64,43198025;0,02205;0,00731;0,10263;-0,01023
6,828;0,40923;5211,57995;1,26788;0,00021;65,14474938;0,02114;0,007;0,08858;-0,00883
6,928;0,41512;5264,43154;1,26784;0,00021;65,80539425;0,02137;0,00708;0,08812;-0,00878
7,028;0,42129;5323,83263;1,26788;0,00021;66,54790788;0,02137;0,00708;0,08401;-0,00837
7,128;0,42718;5376,39409;1,26785;0,00028;67,20492613;0,02777;0,0092;0,08776;-0,00875
7,228;0,43307;5433,43797;1,26791;0,0004;67,91797463;0,03969;0,01315;0,0766;-0,00763
7,328;0,43918;5486,9628;1,26774;0,00037;68,587035;0,03675;0,01218;0,07557;-0,00753
7,428;0,44507;5539,78622;1,26798;0,0004;69,24732775;0,04006;0,01327;0,07663;-0,00764
7,528;0,45134;5597,43449;1,26791;0,00037;69,96793113;0,03702;0,01227;0,06509;-0,00649
7,628;0,45718;5647,80504;1,2681;0,0004;70,597563;0,03952;0,0131;0,05958;-0,00594
7,728;0,46312;5704,53376;1,26781;0,00041;71,306672;0,0412;0,01365;0,0585;-0,00583
7,828;0,46918;5755,60883;1,26808;0,00036;71,94511038;0,03611;0,01197;0,04861;-0,00484
7,928;0,47502;5806,65886;1,26791;0,00036;72,58323575;0,03632;0,01204;0,04768;-0,00475
8,028;0,48134;5861,42063;1,2682;0,00037;73,26775788;0,03674;0,01217;0,03962;-0,00395
8,128;0,48718;5911,69193;1,26802;0,00034;73,89614913;0,03441;0,0114;0,04381;-0,00437
8,228;0,49318;5966,90431;1,26815;0,00034;74,58630388;0,03439;0,0114;0,03685;-0,00367
8,328;0,49918;6016,39062;1,2681;0,00031;75,20488275;0,03069;0,01017;0,04483;-0,00447
8,428;0,50507;6068,31193;1,26843;0,00029;75,85389913;0,02934;0,00972;0,03018;-0,00301
8,528;0,51129;6119,18852;1,26823;0,00032;76,4898565;0,03205;0,01062;0,02743;-0,00273
8,628;0,51707;6167,70208;1,26846;0,00031;77,096276;0,03076;0,01019;0,02938;-0,00293
8,728;0,52329;6222,67753;1,26841;0,00032;77,78346913;0,03151;0,01044;0,02166;-0,00216
8,828;0,52918;6270,90901;1,26856;0,00027;78,38636263;0,02673;0,00886;0,02821;-0,00281
8,928;0,53502;6323,65376;1,26863;0,00024;79,045672;0,02393;0,00793;0,02082;-0,00208
9,028;0,54123;6373,06362;1,26855;0,00026;79,66329525;0,02634;0,00873;0,00956;-0,00095
9,128;0,54707;6421,5222;1,2687;0,00026;80,2690275;0,02608;0,00864;0,00939;-0,00094
9,228;0,55334;6474,81322;1,26868;0,00027;80,93516525;0,02693;0,00892;0,01048;-0,00104
9,328;0,55918;6521,75456;1,26885;0,00024;81,521932;0,02435;0,00807;0,00976;-0,00097
9,428;0,56512;6575,04961;1,26874;0,00025;82,18812013;0,02473;0,0082;0,0055;-0,00055
9,528;0,57118;6623,80189;1,26873;0,00026;82,79752363;0,02613;0,00866;-0,00932;0,00093
9,628;0,57702;6672,36328;1,2688;0,00023;83,404541;0,02279;0,00755;-0,02188;0,00218
9,728;0,58334;6723,66276;1,26889;0,00025;84,0457845;0,02465;0,00817;-0,00883;0,00088
9,828;0,58912;6771,01627;1,2687;0,00026;84,63770338;0,02638;0,00874;-0,01631;0,00163
9,928;0,59523;6825,43606;1,26868;0,00029;85,31795075;0,02908;0,00963;-0,02764;0,00276
10,028;0,60118;6871,52356;1,26869;0,00026;85,8940445;0,02649;0,00878;-0,03029;0,00302
10,128;0,60702;6921,31609;1,26883;0,00028;86,51645113;0,02802;0,00928;-0,03268;0,00326
10,228;0,61329;6971,7367;1,26871;0,00031;87,14670875;0,0309;0,01024;-0,03382;0,00337
10,328;0,61912;7018,4876;1,26842;0,00031;87,731095;0,03146;0,01042;-0,04129;0,00412
10,428;0,62529;7070,98961;1,26876;0,00032;88,38737013;0,03161;0,01047;-0,0384;0,00383
