Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"4"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527                                                   "
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
4,33200;0,25971;3694,62490;1,28318;0,00039;46,18281;0,03907;0,01340;0,04348;-0,00438
4,43200;0,26561;3754,27276;1,28335;0,00039;46,92841;0,03896;0,01336;0,04465;-0,00450
4,53200;0,27177;3819,03023;1,28330;0,00042;47,73788;0,04225;0,01449;0,03577;-0,00361
4,63200;0,27766;3877,11346;1,28320;0,00043;48,46392;0,04333;0,01486;0,04086;-0,00412
4,73200;0,28361;3941,41227;1,28313;0,00045;49,26765;0,04490;0,01540;0,03828;-0,00386
4,83200;0,28966;3999,88577;1,28317;0,00044;49,99857;0,04423;0,01517;0,04997;-0,00504
4,93200;0,29550;4058,81792;1,28336;0,00045;50,73522;0,04455;0,01528;0,04509;-0,00454
5,03200;0,30182;4120,60842;1,28350;0,00048;51,50761;0,04818;0,01652;0,04245;-0,00428
5,13200;0,30766;4176,26828;1,28354;0,00052;52,20335;0,05189;0,01780;0,04739;-0,00478
5,23200;0,31366;4238,38288;1,28367;0,00051;52,97979;0,05082;0,01743;0,05299;-0,00534
5,33200;0,31966;4293,45846;1,28348;0,00054;53,66823;0,05376;0,01844;0,05219;-0,00526
5,43200;0,32550;4351,25783;1,28359;0,00054;54,39072;0,05417;0,01858;0,05826;-0,00587
5,53200;0,33177;4409,97854;1,28352;0,00059;55,12473;0,05854;0,02008;0,05555;-0,00560
5,63200;0,33761;4463,30175;1,28373;0,00055;55,79127;0,05468;0,01875;0,06746;-0,00680
5,73200;0,34371;4523,36311;1,28371;0,00055;56,54204;0,05533;0,01898;0,06602;-0,00665
5,83200;0,34966;4576,94292;1,28373;0,00058;57,21179;0,05752;0,01973;0,07288;-0,00735
5,93200;0,35555;4634,17277;1,28366;0,00059;57,92716;0,05870;0,02013;0,07184;-0,00724
6,03200;0,36171;4687,66183;1,28350;0,00058;58,59577;0,05848;0,02006;0,07505;-0,00756
6,13200;0,36750;4739,52726;1,28383;0,00061;59,24409;0,06096;0,02091;0,08625;-0,00869
6,23200;0,37382;4797,90241;1,28364;0,00059;59,97378;0,05930;0,02034;0,08635;-0,00870
6,33200;0,37966;4847,63861;1,28371;0,00062;60,59548;0,06223;0,02134;0,08975;-0,00905
6,43200;0,38561;4903,93057;1,28361;0,00063;61,29913;0,06284;0,02155;0,08130;-0,00819
6,53200;0,39166;4954,64534;1,28373;0,00063;61,93307;0,06266;0,02149;0,08330;-0,00840
6,63200;0,39750;5005,28634;1,28359;0,00061;62,56608;0,06120;0,02099;0,09151;-0,00922
6,73200;0,40382;5059,47948;1,28376;0,00064;63,24349;0,06374;0,02186;0,07822;-0,00788
6,83200;0,40961;5107,93179;1,28360;0,00064;63,84915;0,06438;0,02208;0,08921;-0,00899
6,93200;0,41571;5162,35650;1,28372;0,00063;64,52946;0,06318;0,02167;0,08223;-0,00829
7,03200;0,42166;5210,44537;1,28360;0,00066;65,13057;0,06617;0,02270;0,08789;-0,00886
7,13200;0,42750;5261,20752;1,28355;0,00066;65,76509;0,06649;0,02281;0,07915;-0,00798
7,23200;0,43377;5311,58343;1,28337;0,00064;66,39479;0,06429;0,02205;0,08326;-0,00839
7,33200;0,43961;5357,24714;1,28312;0,00067;66,96559;0,06735;0,02310;0,08613;-0,00868
7,43200;0,44577;5411,04466;1,28347;0,00064;67,63806;0,06414;0,02200;0,08030;-0,00809
7,53200;0,45166;5455,50048;1,28330;0,00067;68,19376;0,06712;0,02302;0,08246;-0,00831
7,63200;0,45750;5505,05206;1,28354;0,00065;68,81315;0,06531;0,02240;0,07711;-0,00777
7,73200;0,46371;5552,89909;1,28342;0,00067;69,41124;0,06685;0,02293;0,08462;-0,00853
7,83200;0,46961;5597,77379;1,28355;0,00068;69,97217;0,06789;0,02328;0,08036;-0,00810
7,93200;0,47582;5647,79475;1,28364;0,00065;70,59743;0,06453;0,02213;0,08483;-0,00855
8,03200;0,48166;5692,03243;1,28370;0,00063;71,15041;0,06282;0,02155;0,09172;-0,00924
8,13200;0,48761;5741,03102;1,28369;0,00062;71,76289;0,06236;0,02139;0,09156;-0,00923
8,23200;0,49366;5785,14978;1,28369;0,00061;72,31437;0,06080;0,02085;0,08402;-0,00847
8,33200;0,49950;5829,73659;1,28395;0,00059;72,87171;0,05904;0,02025;0,08169;-0,00823
8,43200;0,50582;5877,17637;1,28379;0,00058;73,46470;0,05787;0,01985;0,04624;-0,00466
8,53200;0,51161;5919,65094;1,28329;0,00057;73,99564;0,05715;0,01960;0,05904;-0,00595
8,63200;0,51766;5969,29595;1,28337;0,00057;74,61620;0,05682;0,01949;0,05524;-0,00557
8,73200;0,52366;6011,50140;1,28385;0,00059;75,14377;0,05932;0,02035;0,06280;-0,00633
8,83200;0,52950;6056,27060;1,28407;0,00061;75,70338;0,06139;0,02106;0,06285;-0,00633
8,93200;0,53577;6101,81406;1,28438;0,00059;76,27268;0,05921;0,02031;0,03431;-0,00346
9,03200;0,54161;6143,11874;1,28409;0,00059;76,78898;0,05946;0,02039;0,04155;-0,00419
9,13200;0,54771;6190,87905;1,28409;0,00059;77,38599;0,05946;0,02039;0,03716;-0,00374
9,23200;0,55366;6231,58470;1,28375;0,00061;77,89481;0,06107;0,02095;0,04033;-0,00406
9,33200;0,55955;6275,79376;1,28394;0,00064;78,44742;0,06370;0,02185;0,04275;-0,00431
9,43200;0,56566;6317,68227;1,28362;0,00068;78,97103;0,06778;0,02325;0,03327;-0,00335
9,53200;0,57150;6358,46078;1,28352;0,00067;79,48076;0,06717;0,02304;0,04709;-0,00475
9,63200;0,57787;6405,41196;1,28372;0,00069;80,06765;0,06853;0,02351;0,04840;-0,00488
9,73200;0,58366;6444,26152;1,28379;0,00066;80,55327;0,06623;0,02272;0,05233;-0,00527
9,83200;0,58961;6491,11569;1,28366;0,00071;81,13895;0,07147;0,02451;0,04746;-0,00478
9,93200;0,59571;6532,97871;1,28414;0,00073;81,66223;0,07330;0,02514;0,05306;-0,00535
10,03200;0,60155;6575,34733;1,28436;0,00077;82,19184;0,07708;0,02644;0,05746;-0,00579
10,13200;0,60782;6620,66147;1,28423;0,00075;82,75827;0,07519;0,02579;0,08245;-0,00831
10,23200;0,61366;6661,47575;1,28368;0,00068;83,26845;0,06785;0,02327;0,07755;-0,00782
10,33200;0,61971;6708,42245;1,28391;0,00074;83,85528;0,07386;0,02533;0,07387;-0,00744
10,43200;0,62566;6750,11337;1,28403;0,00073;84,37642;0,07264;0,02492;0,07756;-0,00782
10,53200;0,63155;6793,92636;1,28417;0,00072;84,92408;0,07233;0,02481;0,07047;-0,00710
10,63200;0,63771;6837,40452;1,28432;0,00076;85,46756;0,07586;0,02602;0,07497;-0,00756
10,73200;0,64355;6878,94657;1,28415;0,00078;85,98683;0,07776;0,02667;0,06621;-0,00667
10,83200;0,64977;6927,45343;1,28426;0,00079;86,59317;0,07944;0,02725;0,08104;-0,00817
10,93200;0,65566;6968,14880;1,28430;0,00082;87,10186;0,08189;0,02809;0,07460;-0,00752
11,03200;0,66155;7013,37084;1,28434;0,00084;87,66714;0,08355;0,02866;0,08209;-0,00827
11,13200;0,66771;7056,13241;1,28439;0,00085;88,20166;0,08489;0,02911;0,07619;-0,00768
11,23200;0,67361;7096,94847;1,28430;0,00087;88,71186;0,08683;0,02978;0,07497;-0,00756
11,33200;0,67982;7144,00783;1,28444;0,00089;89,30010;0,08851;0,03036;0,08292;-0,00836
11,43200;0,68566;7185,83733;1,28425;0,00087;89,82297;0,08718;0,02990;0,08459;-0,00853
11,53200;0,69166;7233,50108;1,28414;0,00091;90,41876;0,09088;0,03117;0,08313;-0,00838
11,63200;0,69766;7276,56305;1,28405;0,00093;90,95704;0,09318;0,03196;0,09019;-0,00909
11,73200;0,70350;7320,26294;1,28411;0,00088;91,50329;0,08762;0,03005;0,09769;-0,00985
11,83200;0,70982;7366,88688;1,28412;0,00088;92,08609;0,08836;0,03031;0,09252;-0,00933
