Prüflosbezeichnung;"Redux 312_quer+längs_alte Proben"
Proben-Nr;"1"
Prüfer;"JuBr"
Werkstoff;"6082"
Prüfnorm;"DIN EN ISO 527"
Prüfgeschwindigkeit;3,6;mm/min
Prüfklima;"23 °C / 50 % rF"
Bemerkungen;""

Zeit;Traversenweg;Last;Dehnung 1;Zugdehnung;Zugspannung;Axiale Dehnung (Video);Zugverformung;Transversale Dehnung (Video);Transversale Verformung 1
(sec);(mm);(N);(%);(mm/mm);(MPa);(%);(mm);(%);(mm)
4,14800;0,24879;3811,74266;0,09285;0,00081;47,70642;0,08064;0,02317;-0,07750;0,00810
4,24800;0,25495;3885,79443;0,09274;0,00077;48,63322;0,07657;0,02201;-0,07535;0,00788
4,34800;0,26084;3952,14155;0,09289;0,00078;49,46360;0,07835;0,02252;-0,08096;0,00847
4,44800;0,26673;4023,79587;0,09327;0,00081;50,36040;0,08095;0,02327;-0,08577;0,00897
4,54800;0,27295;4092,23780;0,09293;0,00083;51,21699;0,08257;0,02373;-0,08348;0,00873
4,64800;0,27873;4158,47942;0,09289;0,00085;52,04605;0,08450;0,02429;-0,07432;0,00777
4,74800;0,28500;4231,36398;0,09309;0,00086;52,95825;0,08576;0,02465;-0,06376;0,00667
4,84800;0,29084;4296,86531;0,09300;0,00088;53,77804;0,08783;0,02524;-0,06660;0,00696
4,94800;0,29673;4368,53841;0,09275;0,00086;54,67507;0,08557;0,02459;-0,07578;0,00792
5,04800;0,30284;4435,08759;0,09295;0,00092;55,50798;0,09155;0,02631;-0,06161;0,00644
5,14800;0,30868;4502,24742;0,09290;0,00089;56,34853;0,08904;0,02559;-0,04835;0,00506
5,24800;0,31500;4572,12836;0,09293;0,00095;57,22313;0,09540;0,02742;-0,04643;0,00486
5,34800;0,32079;4637,24568;0,09292;0,00096;58,03812;0,09573;0,02751;-0,03727;0,00390
5,44800;0,32689;4708,70599;0,09287;0,00097;58,93249;0,09736;0,02798;-0,02536;0,00265
5,54800;0,33284;4773,47597;0,09264;0,00100;59,74313;0,10041;0,02886;-0,00422;0,00044
5,64800;0,33868;4841,10206;0,09322;0,00102;60,58951;0,10221;0,02938;0,00365;-0,00038
5,74800;0,34495;4908,44831;0,09309;0,00120;61,43239;0,12024;0,03456;0,00666;-0,00070
5,84800;0,35079;4971,99699;0,09290;0,00121;62,22775;0,12077;0,03471;-0,00121;0,00013
5,94800;0,35695;5042,87168;0,09269;0,00126;63,11479;0,12563;0,03610;-0,00134;0,00014
6,04800;0,36284;5106,11951;0,09287;0,00125;63,90638;0,12540;0,03604;-0,00118;0,00012
